"KCR","1930.0796037402645","2026-06-06","2011-09-03","158.40833579189825","Ridderkerk","112.80533572230863","0.056859048143937406","18.994351059436028"
"ZKC '19","1914.5828965097398","2026-06-06","1921-04-10","-5.283907118017396","Zuidwolde","110.18599676309299","0.05590918092795994","19.02507417796152"
"KOAG","1896.681476616663","2026-06-06","1970-08-30","-31.297853480515187","Krimpen aan den IJssel","112.66056354527107","0.05622600062193588","19.336077187143193"
"Amicitia (V)","1889.7878449480397","2026-06-06","1942-09-20","77.5766761237644","Vriezenveen","122.4937639101209","0.057093947195489145","17.899380996533836"
"KVZ","1889.3566424492544","2026-06-06","2000-09-09","97.28724880278787","Zutphen","117.02800859735851","0.055268303532247355","20.380722432241434"
"Korbis","1887.7270716512105","2026-06-06","1984-09-23","18.37115137692149","Waddinxveen","118.312918342884","0.05806162480643437","22.664912712598667"
"DES (De)","1887.0923413823452","2026-06-06","1970-08-30","176.71052702781958","Delft","118.52922677890803","0.056822050323844","18.097134179044225"
"Kinea / Udiros","1881.743111406055","2026-06-06","2023-09-09","261.8493309390908","Knipe/Nieuwehorne","117.53227799580601","0.056479359605465754","15.255336169582897"
"Maassluis","1880.593263126213","2026-06-06","1970-08-30","-0.7001642174282097","Maassluis","112.47321051554239","0.05675425042567015","19.914857686305105"
"OKO","1880.2520285359335","2026-06-06","1933-04-23","-1.0013480184302352","Opende","116.84613620992154","0.056198791441869816","20.082516536215394"
"Tweemaal Zes","1877.4166665018868","2026-06-06","1983-09-04","18.635872629786945","Maartensdijk","117.0678579510288","0.05734424620779925","17.90705800315557"
"Rohda (A)","1863.8284504574392","2026-06-06","1922-10-22","4.4716174931172645","Amsterdam","116.49270441642673","0.05465375495261946","16.766601827309206"
"Victum","1862.2516058708966","2026-05-30","1993-11-27","-8.350406623827439","Houten","115.44776698142624","0.058280177107282886","20.08410780931464"
"Vriendenschaar (H)","1861.1639702496852","2026-06-06","1970-08-30","13.990694898336187","Hardinxveld-Giessendam","117.60365667677212","0.056203684729618626","16.92261993392033"
"Flamingo's (B)","1857.0002688808552","2026-06-06","1963-05-12","-98.21500375625692","Buitenpost","113.71319230221461","0.057209147864103305","17.49966640775187"
"Telstar","1849.0145293883156","2026-06-06","1981-09-06","66.0148486910764","De Hoevelaken","114.91769536084658","0.05778761774756891","16.326690320229247"
"DOS Kampen","1847.9651896749565","2026-06-06","1937-09-26","6.502526056754505","Kampen","119.88154120200028","0.057254910588792056","20.70826970202915"
"Sparta (Zw)","1847.8763922652254","2026-06-06","1952-09-28","-106.86918147554479","Zwolle","113.30149804229913","0.05763292619005267","14.732889475778371"
"Tiel '72","1846.0655508543864","2026-06-06","1994-01-15","73.80380602253013","Tiel","121.66221880351321","0.05835143601323341","24.978206423781373"
"Fiducia","1844.4990722051034","2026-06-06","1982-09-12","110.20785988248144","Vleuten","121.7923854049819","0.05731763840818278","16.476774534344656"
"BEP","1844.1507122795417","2026-06-06","1917-02-18","-66.55764984984262","Purmerend","113.7083468118837","0.055055248272890336","16.688151139904985"
"Woudenberg","1840.9472003344183","2026-06-06","1975-08-31","21.010521525154445","Woudenberg","118.03164418826142","0.057274975731754815","21.437427654286715"
"Synergo","1839.9393291331721","2026-06-06","1996-08-31","-73.93125265961112","Utrecht","122.42801696463496","0.05620355507231224","16.562688293138812"
"Reehorst '45","1836.8872354611221","2026-06-06","1974-03-31","131.56813000479474","Ede","114.50977790064536","0.05826431967484337","22.748858754513748"
"SDO (K)","1835.2449653762299","2026-06-06","1976-11-21","-8.58856113835327","Kamerik","114.475910883321","0.05707902019032615","16.81619121707541"
"Swift","1834.7598986126527","2026-06-06","1918-10-27","22.65898561442941","Amsterdam","112.40629672327186","0.054746641414426235","18.1779019775779"
"De Meervogels","1832.077221414844","2026-06-06","1970-10-18","-35.997081599677585","Zoetermeer","116.87590708923283","0.056634028070665636","18.304702743220556"
