	Mercedes	Oost Arnhem	2	6
	Asko	LDO	6	3
	Sparta (W)	De Hoeve	8	2
	VKC (S)	Hermes (G)	3	3
	Rohda (H)	Club Brothers	4	6
	Nic	OWK	3	1
	Samen Een	Dio	1	3
	VIOS (Ni)	WWMD	3	7
	Odis (E)	Kinea (K)	2	5
	SCO	KIOS (R)	7	0
	Quick '21	Blauw Wit (H)	3	1
	Luxia	Leeuwarden	4	6
	Rust Roest (E)	PSV	2	6
	Odilo	Organon	2	3
	Stormvogels (G)	Ready '60	12	1
	DHJ	BKC³	5	2
	Oisterwijk	Olympia '47	1	7
	Blauw Wit (R)	Volt	0	7
	Schiedam	Velox	4	12
	GKV	Danaiden	4	5
	DKC (De)	Morskwartier	8	5
	Tjoba	Spartaan	12	1
	Phoenix (Z)	ALO	2	2
	Raven	Crescendo	5	5
	KNS	Achilles (H)	1	1
	TOV (D)	WION	4	3
	USV	Pams	2	2
	Korulos	Zunobri²	9	0
	Oerterp	HDT	6	4
	Moedig Voorwaarts	DOS '46	5	3
	Odival	SIOS (W)	5	4
	SIM	Dow	4	5
