2023-09-16,De Corvers,Triaz,17,14
2023-09-16,Zaandam Zuid,ESDO,12,15
2023-09-16,Vlug en Vaardig (A),Oranje Nassau,15,18
2023-09-16,Ados,Purmer,10,7
2023-09-16,DKV (IJ),Stormvogels (U),14,5
2023-09-16,Conventus,Sperwers,14,10
2023-09-16,Olympia (S),Paal Centraal,15,24
2023-09-16,SKV (S),Triade,4,9
2023-09-16,Terda,Springfield,7,12
2023-09-16,Focus,Oranje Zwart (M),14,15
2023-09-16,OEC,Melmac,19,14
2023-09-16,Voltreffers (O),OJC '98,8,20
2023-09-16,Celeritas (A),Kleine Sluis,10,15
2023-09-17,LDODK,Mid Fryslân,18,15
2023-09-17,Wees Kwiek,Korwi,3,14
2023-09-17,KIA,Koru,11,15
2023-09-17,Moedig Voorwaarts,Samen Een,13,12
2023-09-18,De Parabool,DTS (S),23,5
2023-09-19,SCO,LDODK,16,18
2023-09-19,Oost Arnhem,DVO,12,21
2023-09-19,Avanti (P),Fortuna (D),5,7
2023-09-19,Sporting Delta,PKC,12,24
2023-09-19,Joure,It Fean,5,8
2023-09-19,DTL,De Wâlden,9,12
2023-09-19,Wez Handich,Flamingo's (B),8,11
2023-09-19,Hoogkerk,Noordenveld,11,22
2023-09-19,HHV,IFC '25,20,23
2023-09-19,WSS,De Granaet,14,9
2023-09-20,De Pein,Roreko,10,10
2023-09-20,Leeuwarden,SDO (S),26,5
2023-09-20,Zunobri,Pallas '08,11,26
2023-09-21,Ten Donck,ZKV (Zu),6,15
2023-09-23,Sparta (Zw),Mid Fryslân,11,23
2023-09-23,LDODK,SCO,25,14
2023-09-23,Spirit (Vo),DOS (W),13,10
2023-09-23,DOS '46,Unitas,19,17
2023-09-23,Wageningen,DSC,14,14
2023-09-23,DVO,Oost Arnhem,22,16
2023-09-23,Fiks,Dalto,19,14
2023-09-23,KZ,KVA,22,7
2023-09-23,Groen Geel,Tempo,19,11
2023-09-23,Fortuna (D),Avanti (P),27,14
2023-09-23,TOP (S),KVS,18,9
2023-09-23,KCC,HKC (Ha),21,14
2023-09-23,Valto,Die Haghe,17,16
2023-09-23,PKC,Sporting Delta,31,13
2023-09-23,TOP (A),DeetosSnel,16,14
2023-09-23,Nic,OKO,13,14
2023-09-23,Ritola,AVO,20,18
2023-09-23,Heerenveen,CSL,18,19
2023-09-23,ZKC '19,Wit Blauw,20,20
2023-09-23,SKF,NKC '51,14,16
2023-09-23,Dindoa,De Meeuwen,24,17
2023-09-23,ODIK,Synergo,4,11
2023-09-23,MIA,Antilopen,16,13
2023-09-23,BEP,Rohda (A),13,9
2023-09-23,OVVO,SDO (K),10,13
2023-09-23,De Meervogels,Pernix,23,23
2023-09-23,VEO,Velocitas (L),17,11
2023-09-23,GKV (G),ONDO (G),12,19
2023-09-23,Excelsior (D),Nieuwerkerk,15,18
2023-09-23,Tilburg,Swift (M),9,16
2023-09-23,KOAG,ONDO (M),18,14
2023-09-23,Drachten,Wez Handich,23,14
2023-09-23,Flamingo's (B),IFC '25,21,13
2023-09-23,Juventa,DOS Kampen,14,20
2023-09-23,NRC '22,KIOS (R),22,24
2023-09-23,KVZ,Tiel '72,14,17
2023-09-23,Noviomagum,Tweemaal Zes,19,14
2023-09-23,Woudenberg,Animo (G),10,12
2023-09-23,Viking,ACKC,16,10
2023-09-23,Weidevogels,KVZ '23,19,20
2023-09-23,HKV / Ons Eibernest,ALO,21,13
2023-09-23,Maassluis,Achilles (H),14,14
2023-09-23,RWA,Erasmus,12,18
2023-09-23,Vitesse (Ba),Oranje Wit (D),12,9
2023-09-23,Merwede,KCR,16,12
2023-09-23,Albatros,Kinderdijk,9,16
2023-09-23,ROG,WSS,23,17
2023-09-23,Hoogkerk,Quick '21 / Vlug en Vaardig (G),10,14
2023-09-23,De Wâlden,Noordenveld,16,16
2023-09-23,Kinea / Udiros,KVW '22,10,13
2023-09-23,Oranje Zwart,ASVD,14,25
2023-09-23,Thrianta,Rood Wit (W),21,11
2023-09-23,Devinco,Amicitia (V),14,25
2023-09-23,Apeldoorn,DOS-WK,17,21
2023-09-23,Exakwa,Telstar,20,12
2023-09-23,Sparta (N),Elburg,14,16
2023-09-23,Rust Roest (E),DOT (O),14,12
2023-09-23,Victum,Nova,14,10
2023-09-23,De Vinken,Atlantis,12,12
2023-09-23,RODA (W),VZOD,21,19
2023-09-23,Badhoevedorp,Apollo,16,13
2023-09-23,Swift,Furore,12,5
2023-09-23,DES (De),Phoenix (Z),17,15
2023-09-23,Sporting Trigon,Refleks,12,19
2023-09-23,Korbis,Twist,17,11
2023-09-23,ODO (M),IJsselvogels,16,13
2023-09-23,DVS '69,Korbatjo,21,15
2023-09-23,Movado,Vriendenschaar (H),16,13
2023-09-23,Fortis,Atlas,22,8
2023-09-23,Tjoba,Juliana,23,22
2023-09-23,DTS (S),De Granaet,18,18
2023-09-23,It Fean,DTL,17,13
2023-09-23,HHV,De Parabool,13,13
2023-09-23,VDDO,Club Brothers,24,14
2023-09-23,Oerterp,Joure,25,17
2023-09-23,Hellas '63,WWC,21,15
2023-09-23,Blauw Zwart,Zwart Wit,11,17
2023-09-23,HKC (He),Achilles (A),17,15
2023-09-23,Rheko,KCD,11,13
2023-09-23,Fortissimo,Zwaluwen (Ze),14,22
2023-09-23,DWS (K),Fiducia,12,11
2023-09-23,Luno,HKC (U),13,19
2023-09-23,Duko,Reehorst '45,25,17
2023-09-23,PSV,SDO (V),22,19
2023-09-23,Rapid (H),Sporting West,11,10
2023-09-23,Haarlem,KZ Danaiden,10,9
2023-09-23,DSO (A),DKV Victoria,12,11
