	Westerkwartier	KZ	4	0
	KVO	Tekca	5	3
	Swift	Haarlem	6	3
	TOV (D)	ALO	3	3
	TOV (D)	Spartaan	1	4
	GHBSC	Gorkum	0	1
	DOS (E)	HKC (He)	10	1
	Oosterpark	Amersfoort	4	1
	Zuiden (R)	HBS (H)	2	2
	ZKC (Zu)	Be Quick	2	3
	Zuiden	DES²	2	3
	Friso (L)	HKC (Hrd)	4	0
	HDT	Volharding (H)	9	0
	Tijnje	DDB	2	1
	AW (DC)	Quick '21	0	2
1924-05-04	Gooiers	Amersfoort	5	1
	Swift	KZ	2	5
	KVO	Haarlem	0	9
	Spartaan	VIJW	14	1
	Oosterpark	Gooiers	3	3
	Zuiden (R)	Gorkum	8	0
	RODA (W)	BEP	0	8
	HKC (Hrd)	Felicitas	4	0
	SIM	Akkrum	0	5
	Quick '21	Blauw Geel	4	1
	VEMO	Inter Nos (SJ)	1	0
	HDT	VZK	7	2
1924-05-11	Rozenburg	Dordrecht	2	4
	Achilles (A)	Zwart Wit	7	2
	Vierde Vijf	Gooiers	2	6
	WIK (E)	DOK	9	6
	Nausikaa	Advendo	5	7
	Vitesse (Leiden)	Deetos	4	5
	Dordrecht	Fluks	1	6
	DDV	KVO	7	1
	DOVA	AKC (Al)	3	0
	Gorkum	HBS (H)	3	5
	Westerkwartier	KZ	2	2
	Groen Zwart	DIO (O)	16	0
	Foarut	Friso (L)	1	5
	Felicitas	HKC (Hrd)	1	1
	DDB	Tijnje	1	3
	ODA (B)	Lyts Begjin	2	0
1924-05-18	EKCA	DOS (E)	3	1
	Vierde Vijf	Oosterpark	0	9
	DED	Gooiers	2	10
	Zuiden (R)	Spartaan	9	1
	Hercules	Westerkwartier	1	4
	Rozenburg	Velox	3	1
	Be Quick	ZKC (Zu)	0	3
	KVKV	BEP	2	2
	KVD	SSS (A)	10	3
	Achilles (Am)	SCH	1	3
	Friso (L)	Felicitas	2	2
	AW (DC)	Blauw Geel	1	2
	Foarut	HKC (Hrd)	1	4
1924-05-25	DOS (E)	EKCA	6	3
	Oosterpark	DED	12	0
	ZKC (Zu)	Be Quick	0	6
	TOV (D)	Zuiden (R)	4	6
	VZK	Friso (A)	1	3
1924-05-29	HBS (H)	Spartaan	3	3
	Velox	Rozenburg	4	2
1924-06-01	DWS	Gorkum	2	1
	Zwart Wit	Achilles (A)	2	2
	Unitas (D)	't Overschotje	4	4
	Fluks	DTV	3	3
	Zuiden (R)	TOV (D)	2	0
1924-06-07	KVO	Oosterpark	4	1
1924-06-08	Velox	Rozenburg	3	1
1924-06-15	Dordrecht	Rozenburg	10	1
	DOVA	DOS (E)	0	5
	Rapiditas	Nausikaa	1	0
	Zwart Wit	't Overschotje	5	2
	DTV	Fluks	7	4
	Hercules	KZ	1	6
	BEP	Zuiden	3	5
	KVD	Zuiden	4	2
	Concordia	Akkrum	1	4
	ODIS (M)	VEMO	3	1
	Friso (A)	HDT	1	4
	VZK	Volharding (H)	3	2
	Tijnje	DDB	3	3
	Blauw Geel	AW (DC)	2	3
1924-06-22	Inter Nos (SJ)	VEMO	0	3
	HKC (Hrd)	Friso (L)	3	3
	Lyts Begjin	ODA (B)	2	4
	DDB	Tijnje	0	2
1924-06-29	Felicitas	Friso (L)	1	2
	HKC (Hrd)	Foarut	6	1
	Akkrum	Concordia	3	0
	Friso (A)	Volharding (H)	3	0
	Blauw Geel	Quick '21	2	3
1924-07-06	Concordia	SIM	0	4
1924-07-13	Friso (L)	Foarut	4	0
	Leonidas	OKC (Ol)	1	2
	HDT	Quick '21	1	2
1924-07-20	Akkrum	SIM	4	2
1924-07-27	Foarut	Felicitas	1	3
	Tijnje	HDT	0	0
1924-08-03	ODA (B)	OKC (Ol)	3	1
	Quick '21	Tijnje	3	1
1924-08-17	OKC (Ol)	ODA (B)	4	1
	Felicitas	Foarut	6	1
	Tijnje	Quick '21	2	1
1924-10-12	Akkrum	Friso (L)	1	3
	VEMO	HDT	0	4
1924-10-19	Friso (L)	OKC (Ol)	2	0
1923-10-14	Oranje	Graaf Willem 2	1	2
1923-10-28	DVO (H)	ODI (H)	4	1
1923-11-04	Achilles (H)	GKV	2	3
	DVO (H)	Naaldwijk	1	0
1923-11-11	Die Haghe	Oranje	7	1
	Naaldwijk	ODI (H)	2	0
1923-11-18	KVR	Rood Wit (H)	2	0
	Hollandia	GKV	1	3
	Phoenix (Z)	Ambakor	1	1
1923-11-25	TOGO (H)	KVR	1	3
1923-12-09	Rood Wit (H)	KVR	2	3
	Die Haghe	Graaf Willem 2	3	0
	Hollandia	Achilles (H)	1	0
1923-12-16	TOGO (H)	Rood Wit (H)	3	2
	Ambakor	SIL	5	0
1924-03-16	Rood Wit (H)	TOGO (H)	4	1
	Oranje	Die Haghe	0	1
	GKV	Achilles (H)	4	2
	Naaldwijk	ODI (H)	0	1
1924-03-30	GKV	Hollandia	5	3
1924-04-06	KVR	Rood Wit (H)	1	0
	Achilles (H)	Hollandia	3	1
1924-04-13	KVR	TOGO (H)	2	2
1924-04-27	Emma	KVR	1	1
	HBS (H)	Ons Eibernest	0	2
	Die Haghe	GKV	3	2
1924-05-18	Rood Wit (H)	HBS (H)	0	3
	Ons Eibernest	KVR	2	0
	HBS (H)	Ons Eibernest	0	2
1924-05-11	Brinio	SCS²	2	3
1924-06-01	GKC (Go)	Excelsior (V)	2	3
	DOS (M)	GKC (Go)	5	0
	Excelsior (V)	DOS (M)	2	3
1924-06-15	MEVO	DOS (M)	0	5
	DOS (M)	Zeelandia	6	4
1924-08-03	Zeelandia	DOS (M)	2	0
1924-09-07	Volharding	DOS (M)	1	8
1924-09-14	Ready (R)	Zeelandia	1	4
